size,type,ms
31200,almost,11.4
31300,random,14.4
31300,reverse,11.6
31300,almost,12
31400,random,14.4
31400,reverse,11.2
31400,almost,11
31500,random,14.4
31500,reverse,11.2
31500,almost,11.6
31600,random,13.8
31600,reverse,11
31600,almost,11.4
31700,random,13.4
31700,reverse,11
31700,almost,11
31800,random,13.4
31800,reverse,11
31800,almost,11
31900,random,13.4
31900,reverse,11
31900,almost,12.4
32000,random,13.2
32000,reverse,11
32000,almost,11.2
32100,random,13.8
32100,reverse,11
32100,almost,11
32200,random,13.6
32200,reverse,11
32200,almost,11
32300,random,13.6
32300,reverse,11
32300,almost,11
32400,random,13.4
32400,reverse,11
32400,almost,11
32500,random,14
32500,reverse,11
32500,almost,11.4
32600,random,14
32600,reverse,11
32600,almost,11.4
32700,random,14
32700,reverse,11
32700,almost,11.4
32800,random,14
32800,reverse,11
32800,almost,11.4
32900,random,14
32900,reverse,11
32900,almost,11.4
33000,random,14
33000,reverse,11.2
33000,almost,11.8
33100,random,14
33100,reverse,11.2
33100,almost,12
33200,random,14.4
33200,reverse,11.4
33200,almost,12.2
33300,random,14
33300,reverse,11.2
33300,almost,12
33400,random,14.2
33400,reverse,11.8
33400,almost,12
33500,random,14.8
33500,reverse,12
33500,almost,12
33600,random,14.2
33600,reverse,12
33600,almost,12
33700,random,15
33700,reverse,12
33700,almost,12.4
33800,random,14.8
33800,reverse,12
33800,almost,12.4
33900,random,15.2
33900,reverse,12
33900,almost,12.4
34000,random,15
34000,reverse,13.4
34000,almost,13.4
34100,random,15
34100,reverse,12
34100,almost,13.6
34200,random,15
34200,reverse,12
34200,almost,12
34300,random,15
34300,reverse,12.8
34300,almost,12.6
34400,random,17.2
34400,reverse,12.4
34400,almost,12.8
34500,random,15.2
34500,reverse,12.4
34500,almost,13
34600,random,15.4
34600,reverse,12.4
34600,almost,13
34700,random,15.8
34700,reverse,12.8
34700,almost,13
34800,random,15.8
34800,reverse,13.6
34800,almost,13.2
34900,random,15.4
34900,reverse,12.4
34900,almost,13
35000,random,16
35000,reverse,13
35000,almost,13.2
35100,random,16
35100,reverse,13
35100,almost,13.8
35200,random,16.2
35200,reverse,13
35200,almost,13
35300,random,16.6
35300,reverse,13.2
35300,almost,13.4
35400,random,16
35400,reverse,13.4
35400,almost,14.2
35500,random,16
35500,reverse,13
35500,almost,13.6
35600,random,16
35600,reverse,13
35600,almost,13.4
35700,random,16
35700,reverse,13
35700,almost,13.2
35800,random,16
35800,reverse,13
35800,almost,14
35900,random,17
35900,reverse,13.2
35900,almost,13.6
36000,random,16.2
36000,reverse,14
36000,almost,14.2
36100,random,16.6
36100,reverse,15.6
36100,almost,14
36200,random,16.8
36200,reverse,13
36200,almost,14
36300,random,16.6
36300,reverse,13.4
36300,almost,14
36400,random,16.2
36400,reverse,15
36400,almost,14.2
36500,random,17.2
36500,reverse,13.8
36500,almost,15.8
36600,random,17
36600,reverse,14
36600,almost,14.2
36700,random,17
36700,reverse,13.6
36700,almost,14.4
36800,random,17.4
36800,reverse,13.8
36800,almost,14
36900,random,17
36900,reverse,14.2
36900,almost,14.8
37000,random,17.6
37000,reverse,14
37000,almost,14.6
37100,random,17
37100,reverse,14
37100,almost,14.2
37200,random,17.4
37200,reverse,14
37200,almost,14.2
37300,random,17
37300,reverse,14.2
37300,almost,14
37400,random,17
37400,reverse,14
37400,almost,14
37500,random,17
37500,reverse,14
37500,almost,14
37600,random,19
37600,reverse,15
37600,almost,14.8
37700,random,17
37700,reverse,14
37700,almost,14.6
37800,random,17
37800,reverse,14
37800,almost,15
37900,random,17.2
37900,reverse,14.6
37900,almost,16.8
38000,random,17.6
38000,reverse,14
38000,almost,14.4
38100,random,17
38100,reverse,14
38100,almost,15
38200,random,17.2
38200,reverse,14
38200,almost,15
38300,random,17
38300,reverse,14
38300,almost,15
38400,random,17
38400,reverse,14
38400,almost,15
38500,random,17
38500,reverse,14.2
38500,almost,15
38600,random,17.6
38600,reverse,14.4
38600,almost,15
38700,random,17.6
38700,reverse,14.8
38700,almost,15
38800,random,18
38800,reverse,14.8
38800,almost,15
38900,random,18
38900,reverse,14.2
38900,almost,16.2
39000,random,19.2
39000,reverse,14.8
39000,almost,15.4
39100,random,18.2
39100,reverse,14
39100,almost,15.4
39200,random,18
